accountsservice 0.6.50-1
acpi 1.7-2
acpid 2.0.30-1
adapta-maia-theme 3.94.0.129-1
adwaita-icon-theme 3.28.0-1
alsa-firmware 1.0.29-2
alsa-plugins 1.1.6-2
alsa-utils 1.1.6-1
amd-ucode 20180825.fea76a0-1
arandr 0.1.9-2
arp-scan 1.9-3
autoconf 2.69-4
automake 1.15.1-1
b43-fwcutter 019-2
bash 4.4.023-2
bind-tools 9.13.2-1
binutils 2.31.1-3
bison 3.0.5-1
blueman 2.0.6-1
btrfs-progs 4.17.1-1
bzip2 1.0.6-7
calamares-git 3.2.2.r4921.87726c641-1
catfish 1.4.6-2
clonezilla 3.27.16-1
compton 0.1_beta2.5-11
conky 1.10.8-2
coreutils 8.29-1
cpupower 4.18-1
crda 4.14-1
cronie 1.5.2-1
cryptsetup 2.0.4-1
dash 0.5.9.1-1
deadbeef 0.7.2-4
device-mapper 2.02.181-1
dhclient 4.4.1-4
dhcpcd 7.0.8-0
diffutils 3.6-1
dmraid 1.0.0.rc16.3-11
dnsmasq 2.79-1
dosfstools 4.1-1
dunst 1.3.2-1
e2fsprogs 1.44.4-1
ecryptfs-utils 111-2
efibootmgr 16-1
engrampa 1.20.1-1
exfat-utils 1.2.8-1
exo-gtk3 0.12.2-1
f2fs-tools 1.11.0-2
fakeroot 1.23-1
ffmpeg 1:4.0.2-2
ffmpegthumbnailer 2.2.0-2
file 5.33-3
filesystem 2018.8-1
findutils 4.6.0-2
firefox 61.0.2-1
flex 2.6.4-1
freetype2 2.9.1-1
galculator 2.1.4-3
gamin 0.1.10-9
gawk 4.2.1-1
gc 7.6.6-1
gcc 8.2.0-2
gcc-libs 8.2.0-2
gcolor2 0.4-8
gettext 0.19.8.1-2
gimp 2.10.6-1
git 2.18.0-1
gksu-polkit 0.0.3-1
glibc 2.28-4
gnome-disk-utility 3.28.2-1
gnome-icon-theme 3.12.0-4
gnome-icon-theme-extras 3.12.0-4
gnome-icon-theme-symbolic 3.12.0-4
gnome-keyring 1:3.28.2-1
gnome-themes-extra 3.28-1
gparted 0.32.0-1
gpicview 0.2.5-3
grep 3.1-1
grub 2.03.0-7.1
grub-theme-live-manjaro-dev 18.0-3
gsimplecal 2.1-3
gsmartcontrol 1.1.3-1
gtk3-classic 3.22.30-6.1
guile 2.2.4-1
gvfs 1.36.2-3
gvfs-afc 1.36.2-3
gvfs-mtp 1.36.2-3
gvfs-nfs 1.36.2-3
gvfs-smb 1.36.2-3
gzip 1.9-1
haveged 1.9.4-3
hicolor-icon-theme 0.17-1
i3lock 2.10-1
imagemagick 7.0.8.11-1
inetutils 1.9.4-5
intel-ucode 20180807.a-1
inxi 3.0.21-1
iproute2 4.18.0-1
iptables 1.6.2-2
iputils 20180629.f6aac8d-2
ipw2100-fw 1.3-8
ipw2200-fw 3.1-6
jfsutils 1.1.15-5
jgmenu 1.2.1-1
jsoncpp 1.8.4-2
kickshaw 0.6.4-1
less 530-1
libatomic_ops 7.6.6-1
libmpc 1.1.0-1
libmpdclient 2.14-1
libreoffice-fresh 6.1.0-2
licenses 20171006-1
lightdm 1:1.26.0-2
lightdm-slick-greeter 1.2.2-1
linux-firmware 20180825.fea76a0-1
linux418 4.18.5-1
logrotate 3.14.0-1
lsb-release 1.4-12
lvm2 2.02.181-1
lxappearance-gtk3 0.6.3-1
lxappearance-obconf-gtk3 0.2.3-1
lxmenu-data 0.1.5-1
lynx 2.8.9-1
m4 1.4.18-1
make 4.2.1-2
man-db 2.8.4-1
man-pages 4.16-2
manjaro-application-utility 1.0-5
manjaro-architect 0.9.16-1
manjaro-documentation-en 20180113-1
manjaro-firmware 20160419-1
manjaro-live-skel 20180509-1
manjaro-live-systemd 20170621-1
manjaro-openbox-adapta-maia 1.0-4
manjaro-openbox-fonts 1.18-1
manjaro-openbox-grub-theme-glassfield 1.0-2
manjaro-openbox-scripts 1.18.4-2
manjaro-release 17.1.12-1
manjaro-settings-manager 0.5.4-15
manjaro-system 20180828-2
manjaro-wallpapers-18.0 1.4-1
manjaro-zsh-config 0.11-1
